player_id,player_url,fifa_version,fifa_update,fifa_update_date,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,league_id,league_name,league_level,club_team_id,club_name,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url
227203,/player/227203/alexia-putellas-segura/230002,23,2,9/26/2022,Alexia Putellas,Alexia Putellas Segura,"CM, LW",92,92,,,28,2/4/1994,173,67,,,,,,,,,,,45,Spain,113012,LCM,14,Left,4,5,5,High/Medium,Normal (170-185),Yes,,"#Dribbler, #Playmaker, #Crosser, #FK Specialist, #Clinical Finisher, #Complete Midfielder, #Complete Forward","Leadership, Flair, Outside Foot Shot, Team Player, Technical Dribbler (AI)",80,90,92,91,72,75,87,94,74,95,90,93,89,89,91,94,82,78,76,95,78,81,75,90,75,90,58,79,96,95,91,91,60,82,64,15,17,11,15,10,,89+3,89+3,89+3,91,92,92,92,91,93-1,93-1,93-1,91+1,92,92,92,91+1,83+3,83+3,83+3,83+3,83+3,81+3,75+3,75+3,75+3,81+3,23+3,https://cdn.sofifa.net/players/227/203/23_120.png
227125,/player/227125/sam-kerr/230002,23,2,9/26/2022,S. Kerr,Samantha May Kerr,ST,91,91,134500000,4000,28,9/10/1993,168,66,2216,Women's Super League,1,116010,Chelsea W,ST,20,,1/1/2020,2024,195,Australia,,,,Right,4,4,5,High/High,Normal (170-),Yes,275700000,"#Aerial Threat, #Dribbler, #Engine, #Distance Shooter, #Acrobat, #Clinical Finisher, #Complete Forward","Solid Player, Leadership, Finesse Shot, Flair, Speed Dribbler (AI), Power Header, Outside Foot Shot",87,91,75,90,42,83,80,93,91,78,92,90,76,69,55,92,89,85,90,93,82,91,91,87,86,89,70,24,95,83,79,92,44,39,35,7,12,8,16,13,,91,91,91,88,90,90,90,88,87+3,87+3,87+3,86+3,77+3,77+3,77+3,86+3,66+3,61+3,61+3,61+3,66+3,63+3,59+3,59+3,59+3,63+3,21+3,https://cdn.sofifa.net/players/227/125/23_120.png
227310,/player/227310/ada-hegerberg/230002,23,2,9/26/2022,A. Hegerberg,Ada Martine Stolsmo Hegerberg,ST,91,92,157000000,4000,26,7/10/1995,176,68,2218,Feminine Division 1,1,116033,Lyon W,ST,14,,7/1/2014,2024,36,Norway,113007,ST,14,Right,4,4,5,High/Medium,Normal (170-185),Yes,333600000,"#Aerial Threat, #Distance Shooter, #Clinical Finisher, #Complete Forward","Leadership, Outside Foot Shot, Technical Dribbler (AI)",85,91,77,87,39,77,71,94,93,84,90,91,79,75,72,91,83,86,74,93,47,86,89,75,81,89,65,23,96,76,86,86,42,33,29,15,7,12,10,14,,91+1,91+1,91+1,87,89,89,89,87,87+3,87+3,87+3,85+3,79+3,79+3,79+3,85+3,63+3,61+3,61+3,61+3,63+3,60+3,56+3,56+3,56+3,60+3,20+3,https://cdn.sofifa.net/players/227/310/23_120.png
227316,/player/227316/wendie-renard/230002,23,2,9/26/2022,W. Renard,Wéndèleine Thérèse Renard,CB,91,91,89500000,3000,31,7/20/1990,187,70,2218,Feminine Division 1,1,116033,Lyon W,LCB,3,,7/1/2006,2026,18,France,113003,LCB,3,Right,3,2,5,High/Medium,Lean (185+),Yes,183500000,"#Aerial Threat, #Tackling, #Tactician, #Strength, #Complete Defender","Leadership, Long Passer (AI), Power Header, Team Player",67,72,71,72,93,87,51,70,96,84,55,69,65,58,87,85,68,66,53,90,34,85,86,75,93,65,88,90,70,59,75,84,93,94,91,7,14,17,11,15,,78+3,78+3,78+3,71,75,75,75,71,74+3,74+3,74+3,73+3,79+3,79+3,79+3,73+3,80+3,87+3,87+3,87+3,80+3,83+3,91,91,91,83+3,21+3,https://cdn.sofifa.net/players/227/316/23_120.png
226301,/player/226301/alex-morgan/230002,23,2,9/26/2022,A. Morgan,Alexandra Morgan Carrasco,ST,90,90,,,32,7/2/1989,170,62,,,,,,,,,,,95,United States,113009,ST,13,Left,4,4,5,High/Low,Unique,Yes,,#Clinical Finisher,"Finesse Shot, Outside Foot Shot",84,91,75,87,43,72,71,95,86,83,87,87,68,70,67,93,83,84,76,93,67,88,76,75,77,83,53,63,96,74,88,92,34,29,27,11,11,10,10,11,,90,90,90,86,89,89,89,86,86+3,86+3,86+3,84+3,79+3,79+3,79+3,84+3,66+3,64+3,64+3,64+3,66+3,63+3,57+3,57+3,57+3,63+3,20+3,https://cdn.sofifa.net/players/226/301/23_120.png
227102,/player/227102/caroline-graham-hansen/230002,23,2,9/26/2022,C. Hansen,Caroline Graham Hansen,"RW, CAM, ST",90,90,,,27,2/18/1995,178,66,,,,,,,,,,,36,Norway,113007,CAM,10,Right,4,5,4,High/Medium,Lean (170-185),Yes,,"#Dribbler, #Playmaker, #Crosser, #Clinical Finisher, #Complete Midfielder, #Complete Forward","Flair, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",88,84,90,91,48,75,93,86,75,90,82,94,90,77,84,92,88,88,85,89,75,79,68,84,74,85,66,35,88,93,80,84,45,50,46,17,11,15,13,9,,86+3,86+3,86+3,90,89,89,89,90,90,90,90,90,85+3,85+3,85+3,90,72+3,69+3,69+3,69+3,72+3,68+3,60+3,60+3,60+3,68+3,21+3,https://cdn.sofifa.net/players/227/102/23_120.png
227246,/player/227246/lucy-bronze/230002,23,2,9/26/2022,L. Bronze,Lucia Roberta Tough Bronze,RB,90,90,,,30,10/28/1991,171,65,,,,,,,,,,,14,England,113002,RB,2,Right,3,3,5,High/High,Normal (170-185),Yes,,"#Engine, #Crosser, #Tackling, #Acrobat, #Strength","Leadership, Speed Dribbler (AI), Power Header, Giant Throw-in",89,77,82,83,88,89,87,73,82,85,66,79,88,81,80,85,89,89,86,89,82,85,92,90,90,86,82,85,73,73,62,86,89,91,89,10,14,16,8,15,,81+3,81+3,81+3,82,81,81,81,82,81+3,81+3,81+3,83+3,82+3,82+3,82+3,83+3,87+3,86+3,86+3,86+3,87+3,88+2,87+3,87+3,87+3,88+2,20+3,https://cdn.sofifa.net/players/227/246/23_120.png
246272,/player/246272/marie-katoto/230002,23,2,9/26/2022,M. Katoto,Marie-Antoinette Oda Katoto,ST,90,94,173500000,3000,23,11/1/1998,177,66,2218,Feminine Division 1,1,116034,Paris SG W,ST,9,,4/26/2015,2025,18,France,113003,ST,9,Right,4,4,4,High/Medium,Lean (170-185),Yes,368700000,"#Aerial Threat, #Clinical Finisher, #Complete Forward","Power Header, Outside Foot Shot",88,90,78,86,39,74,71,93,92,87,91,86,71,69,70,89,89,88,80,90,68,86,86,82,81,87,44,27,94,79,82,85,37,35,29,14,12,11,14,8,,90+3,90+3,90+3,87,89,89,89,87,87+3,87+3,87+3,85+3,79+3,79+3,79+3,85+3,64+3,61+3,61+3,61+3,64+3,61+3,55+3,55+3,55+3,61+3,21+3,https://cdn.sofifa.net/players/246/272/23_120.png
233746,/player/233746/vivianne-miedema/230002,23,2,9/26/2022,V. Miedema,Vivianne Miedema,ST,89,90,125000000,3000,25,7/15/1996,178,65,2216,Women's Super League,1,116009,Arsenal W,ST,11,,7/1/2017,2023,34,Netherlands,113011,ST,9,Right,4,4,5,High/High,Normal (170-185),Yes,265600000,"#Engine, #Distance Shooter, #Clinical Finisher","Leadership, Finesse Shot, Outside Foot Shot",83,90,71,88,32,82,69,90,83,79,90,89,76,78,55,92,86,81,80,90,73,90,75,87,85,90,70,27,95,69,75,92,22,30,23,14,16,17,14,17,,89+1,89+1,89+1,85,87,87,87,85,84+3,84+3,84+3,83+3,75+3,75+3,75+3,83+3,61+3,57+3,57+3,57+3,61+3,57+3,52+3,52+3,52+3,57+3,24+3,https://cdn.sofifa.net/players/233/746/23_120.png
245956,/player/245956/christiane-endler/230002,23,2,9/26/2022,C. Endler,Christiane Endler,GK,89,89,68500000,2000,30,7/23/1991,183,73,2218,Feminine Division 1,1,116033,Lyon W,GK,1,,7/1/2021,2024,55,Chile,,,,Left,3,1,5,Medium/Medium,Lean (170-185),Yes,140400000,,Leadership,,,,,,,15,15,13,27,8,15,17,11,34,22,43,35,39,86,42,64,65,32,46,17,21,15,10,69,13,45,15,11,12,89,85,85,90,92,40,30+3,30+3,30+3,29,32,32,32,29,33+3,33+3,33+3,31+3,34+3,34+3,34+3,31+3,26+3,28+3,28+3,28+3,26+3,25+3,24+3,24+3,24+3,25+3,88+1,https://cdn.sofifa.net/players/245/956/23_120.png
